"","tmp.dates","date.begin","date.end","qf.lst"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-02-01_1km.tif","2000-02-01",2000-02-01,2000-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-03-01_1km.tif","2000-03-01",2000-03-01,2000-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-04-01_1km.tif","2000-04-01",2000-04-01,2000-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-05-01_1km.tif","2000-05-01",2000-05-01,2000-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-06-01_1km.tif","2000-06-01",2000-06-01,2000-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-07-01_1km.tif","2000-07-01",2000-07-01,2000-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-08-01_1km.tif","2000-08-01",2000-08-01,2000-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-09-01_1km.tif","2000-09-01",2000-09-01,2000-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-10-01_1km.tif","2000-10-01",2000-10-01,2000-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-11-01_1km.tif","2000-11-01",2000-11-01,2000-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2000-12-01_1km.tif","2000-12-01",2000-12-01,2000-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-01-01_1km.tif","2001-01-01",2001-01-01,2001-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-02-01_1km.tif","2001-02-01",2001-02-01,2001-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-03-01_1km.tif","2001-03-01",2001-03-01,2001-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-04-01_1km.tif","2001-04-01",2001-04-01,2001-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-05-01_1km.tif","2001-05-01",2001-05-01,2001-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-06-01_1km.tif","2001-06-01",2001-06-01,2001-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-07-01_1km.tif","2001-07-01",2001-07-01,2001-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-08-01_1km.tif","2001-08-01",2001-08-01,2001-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-09-01_1km.tif","2001-09-01",2001-09-01,2001-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-10-01_1km.tif","2001-10-01",2001-10-01,2001-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-11-01_1km.tif","2001-11-01",2001-11-01,2001-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2001-12-01_1km.tif","2001-12-01",2001-12-01,2001-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-01-01_1km.tif","2002-01-01",2002-01-01,2002-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-02-01_1km.tif","2002-02-01",2002-02-01,2002-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-03-01_1km.tif","2002-03-01",2002-03-01,2002-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-04-01_1km.tif","2002-04-01",2002-04-01,2002-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-05-01_1km.tif","2002-05-01",2002-05-01,2002-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-06-01_1km.tif","2002-06-01",2002-06-01,2002-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-07-01_1km.tif","2002-07-01",2002-07-01,2002-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-08-01_1km.tif","2002-08-01",2002-08-01,2002-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-09-01_1km.tif","2002-09-01",2002-09-01,2002-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-10-01_1km.tif","2002-10-01",2002-10-01,2002-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-11-01_1km.tif","2002-11-01",2002-11-01,2002-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2002-12-01_1km.tif","2002-12-01",2002-12-01,2002-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-01-01_1km.tif","2003-01-01",2003-01-01,2003-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-02-01_1km.tif","2003-02-01",2003-02-01,2003-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-03-01_1km.tif","2003-03-01",2003-03-01,2003-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-04-01_1km.tif","2003-04-01",2003-04-01,2003-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-05-01_1km.tif","2003-05-01",2003-05-01,2003-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-06-01_1km.tif","2003-06-01",2003-06-01,2003-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-07-01_1km.tif","2003-07-01",2003-07-01,2003-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-08-01_1km.tif","2003-08-01",2003-08-01,2003-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-09-01_1km.tif","2003-09-01",2003-09-01,2003-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-10-01_1km.tif","2003-10-01",2003-10-01,2003-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-11-01_1km.tif","2003-11-01",2003-11-01,2003-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2003-12-01_1km.tif","2003-12-01",2003-12-01,2003-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-01-01_1km.tif","2004-01-01",2004-01-01,2004-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-02-01_1km.tif","2004-02-01",2004-02-01,2004-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-03-01_1km.tif","2004-03-01",2004-03-01,2004-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-04-01_1km.tif","2004-04-01",2004-04-01,2004-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-05-01_1km.tif","2004-05-01",2004-05-01,2004-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-06-01_1km.tif","2004-06-01",2004-06-01,2004-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-07-01_1km.tif","2004-07-01",2004-07-01,2004-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-08-01_1km.tif","2004-08-01",2004-08-01,2004-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-09-01_1km.tif","2004-09-01",2004-09-01,2004-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-10-01_1km.tif","2004-10-01",2004-10-01,2004-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-11-01_1km.tif","2004-11-01",2004-11-01,2004-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2004-12-01_1km.tif","2004-12-01",2004-12-01,2004-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-01-01_1km.tif","2005-01-01",2005-01-01,2005-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-02-01_1km.tif","2005-02-01",2005-02-01,2005-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-03-01_1km.tif","2005-03-01",2005-03-01,2005-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-04-01_1km.tif","2005-04-01",2005-04-01,2005-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-05-01_1km.tif","2005-05-01",2005-05-01,2005-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-06-01_1km.tif","2005-06-01",2005-06-01,2005-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-07-01_1km.tif","2005-07-01",2005-07-01,2005-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-08-01_1km.tif","2005-08-01",2005-08-01,2005-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-09-01_1km.tif","2005-09-01",2005-09-01,2005-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-10-01_1km.tif","2005-10-01",2005-10-01,2005-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-11-01_1km.tif","2005-11-01",2005-11-01,2005-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2005-12-01_1km.tif","2005-12-01",2005-12-01,2005-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-01-01_1km.tif","2006-01-01",2006-01-01,2006-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-02-01_1km.tif","2006-02-01",2006-02-01,2006-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-03-01_1km.tif","2006-03-01",2006-03-01,2006-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-04-01_1km.tif","2006-04-01",2006-04-01,2006-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-05-01_1km.tif","2006-05-01",2006-05-01,2006-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-06-01_1km.tif","2006-06-01",2006-06-01,2006-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-07-01_1km.tif","2006-07-01",2006-07-01,2006-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-08-01_1km.tif","2006-08-01",2006-08-01,2006-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-09-01_1km.tif","2006-09-01",2006-09-01,2006-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-10-01_1km.tif","2006-10-01",2006-10-01,2006-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-11-01_1km.tif","2006-11-01",2006-11-01,2006-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2006-12-01_1km.tif","2006-12-01",2006-12-01,2006-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-01-01_1km.tif","2007-01-01",2007-01-01,2007-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-02-01_1km.tif","2007-02-01",2007-02-01,2007-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-03-01_1km.tif","2007-03-01",2007-03-01,2007-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-04-01_1km.tif","2007-04-01",2007-04-01,2007-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-05-01_1km.tif","2007-05-01",2007-05-01,2007-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-06-01_1km.tif","2007-06-01",2007-06-01,2007-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-07-01_1km.tif","2007-07-01",2007-07-01,2007-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-08-01_1km.tif","2007-08-01",2007-08-01,2007-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-09-01_1km.tif","2007-09-01",2007-09-01,2007-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-10-01_1km.tif","2007-10-01",2007-10-01,2007-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-11-01_1km.tif","2007-11-01",2007-11-01,2007-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2007-12-01_1km.tif","2007-12-01",2007-12-01,2007-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-01-01_1km.tif","2008-01-01",2008-01-01,2008-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-02-01_1km.tif","2008-02-01",2008-02-01,2008-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-03-01_1km.tif","2008-03-01",2008-03-01,2008-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-04-01_1km.tif","2008-04-01",2008-04-01,2008-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-05-01_1km.tif","2008-05-01",2008-05-01,2008-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-06-01_1km.tif","2008-06-01",2008-06-01,2008-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-07-01_1km.tif","2008-07-01",2008-07-01,2008-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-08-01_1km.tif","2008-08-01",2008-08-01,2008-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-09-01_1km.tif","2008-09-01",2008-09-01,2008-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-10-01_1km.tif","2008-10-01",2008-10-01,2008-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-11-01_1km.tif","2008-11-01",2008-11-01,2008-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2008-12-01_1km.tif","2008-12-01",2008-12-01,2008-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-01-01_1km.tif","2009-01-01",2009-01-01,2009-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-02-01_1km.tif","2009-02-01",2009-02-01,2009-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-03-01_1km.tif","2009-03-01",2009-03-01,2009-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-04-01_1km.tif","2009-04-01",2009-04-01,2009-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-05-01_1km.tif","2009-05-01",2009-05-01,2009-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-06-01_1km.tif","2009-06-01",2009-06-01,2009-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-07-01_1km.tif","2009-07-01",2009-07-01,2009-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-08-01_1km.tif","2009-08-01",2009-08-01,2009-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-09-01_1km.tif","2009-09-01",2009-09-01,2009-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-10-01_1km.tif","2009-10-01",2009-10-01,2009-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-11-01_1km.tif","2009-11-01",2009-11-01,2009-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2009-12-01_1km.tif","2009-12-01",2009-12-01,2009-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-01-01_1km.tif","2010-01-01",2010-01-01,2010-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-02-01_1km.tif","2010-02-01",2010-02-01,2010-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-03-01_1km.tif","2010-03-01",2010-03-01,2010-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-04-01_1km.tif","2010-04-01",2010-04-01,2010-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-05-01_1km.tif","2010-05-01",2010-05-01,2010-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-06-01_1km.tif","2010-06-01",2010-06-01,2010-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-07-01_1km.tif","2010-07-01",2010-07-01,2010-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-08-01_1km.tif","2010-08-01",2010-08-01,2010-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-09-01_1km.tif","2010-09-01",2010-09-01,2010-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-10-01_1km.tif","2010-10-01",2010-10-01,2010-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-11-01_1km.tif","2010-11-01",2010-11-01,2010-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2010-12-01_1km.tif","2010-12-01",2010-12-01,2010-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-01-01_1km.tif","2011-01-01",2011-01-01,2011-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-02-01_1km.tif","2011-02-01",2011-02-01,2011-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-03-01_1km.tif","2011-03-01",2011-03-01,2011-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-04-01_1km.tif","2011-04-01",2011-04-01,2011-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-05-01_1km.tif","2011-05-01",2011-05-01,2011-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-06-01_1km.tif","2011-06-01",2011-06-01,2011-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-07-01_1km.tif","2011-07-01",2011-07-01,2011-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-08-01_1km.tif","2011-08-01",2011-08-01,2011-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-09-01_1km.tif","2011-09-01",2011-09-01,2011-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-10-01_1km.tif","2011-10-01",2011-10-01,2011-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-11-01_1km.tif","2011-11-01",2011-11-01,2011-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-12-01_1km.tif","2011-12-01",2011-12-01,2011-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-01-01_1km.tif","2012-01-01",2012-01-01,2012-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-02-01_1km.tif","2012-02-01",2012-02-01,2012-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-03-01_1km.tif","2012-03-01",2012-03-01,2012-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-04-01_1km.tif","2012-04-01",2012-04-01,2012-04-30,"l0.05"
